,Age group,VALUE
0,0 years,100000
1,1 year,99561
2,2 years,99537
3,3 years,99520
4,4 years,99506
5,5 years,99496
6,6 years,99487
7,7 years,99479
8,8 years,99472
9,9 years,99465
10,10 years,99458
11,11 years,99450
12,12 years,99442
13,13 years,99433
14,14 years,99421
15,15 years,99406
16,16 years,99385
17,17 years,99357
18,18 years,99322
19,19 years,99282
20,20 years,99239
21,21 years,99192
22,22 years,99141
23,23 years,99087
24,24 years,99030
25,25 years,98971
26,26 years,98910
27,27 years,98847
28,28 years,98782
29,29 years,98714
30,30 years,98643
31,31 years,98569
32,32 years,98493
33,33 years,98414
34,34 years,98332
35,35 years,98249
36,36 years,98162
37,37 years,98074
38,38 years,97982
39,39 years,97886
40,40 years,97784
41,41 years,97676
42,42 years,97560
43,43 years,97436
44,44 years,97304
45,45 years,97161
46,46 years,97007
47,47 years,96842
48,48 years,96664
49,49 years,96471
50,50 years,96263
51,51 years,96037
52,52 years,95793
53,53 years,95528
54,54 years,95240
55,55 years,94928
56,56 years,94588
57,57 years,94219
58,58 years,93818
59,59 years,93382
60,60 years,92907
61,61 years,92390
62,62 years,91827
63,63 years,91214
64,64 years,90545
65,65 years,89816
66,66 years,89022
67,67 years,88157
68,68 years,87213
69,69 years,86186
70,70 years,85066
71,71 years,83846
72,72 years,82519
73,73 years,81076
74,74 years,79508
75,75 years,77806
76,76 years,75961
77,77 years,73964
78,78 years,71807
79,79 years,69481
80,80 years,66980
81,81 years,64299
82,82 years,61434
83,83 years,58384
84,84 years,55153
85,85 years,51747
86,86 years,48178
87,87 years,44465
88,88 years,40631
89,89 years,36710
90,90 years,32741
91,91 years,28772
92,92 years,24867
93,93 years,21106
94,94 years,17562
95,95 years,14303
96,96 years,11351
97,97 years,8784
98,98 years,6616
99,99 years,4842
100,100 years,3438
101,101 years,2364
102,102 years,1573
103,103 years,1011
104,104 years,627
105,105 years,375
106,106 years,217
107,107 years,121
108,108 years,65
109,109 years,34
110,110 years and over,17
