REF_DATE,GEO,Household total income,Year,n
2021,Canada,"Under $5,000",2020,165180
2021,Canada,"$5,000 to $9,999",2020,91750
2021,Canada,"$10,000 to $14,999",2020,178475
2021,Canada,"$15,000 to $19,999",2020,274145
2021,Canada,"$20,000 to $24,999",2020,637695
2021,Canada,"$25,000 to $29,999",2020,505875
2021,Canada,"$30,000 to $34,999",2020,488735
2021,Canada,"$35,000 to $39,999",2020,560950
2021,Canada,"$40,000 to $44,999",2020,572650
2021,Canada,"$45,000 to $49,999",2020,559150
2021,Canada,"$50,000 to $59,999",2020,1093190
2021,Canada,"$60,000 to $69,999",2020,1044715
2021,Canada,"$70,000 to $79,999",2020,986460
2021,Canada,"$80,000 to $89,999",2020,921205
2021,Canada,"$90,000 to $99,999",2020,844835
2021,Canada,"$100,000 and over",2020,6053945
2021,Canada,"$100,000 to $124,999",2020,1753480
2021,Canada,"$125,000 to $149,999",2020,1283445
2021,Canada,"$150,000 to $199,999",2020,1545940
2021,Canada,"$200,000 and over",2020,1471075
